1;URBAN;195,195,205;
2;LOW SPARSE GRASSLAND;122,209,136
3;CONIFEROUS FOREST;50,135,50
4;DECIDUOUS CONIFER FOREST;50,135,50
5;DECIDUOUS BROADLEAF FOREST;90,170,50
6;EVERGREEN BROADLEAF FORESTS;56,156,56
7;TALL GRASSES AND SHRUBS;76,194,98
8;BARE DESERT;165,165,165
9;UPLAND TUNDRA;143,164,153
10;IRRIGATED GRASSLAND;169,224,73
11;SEMI DESERT;166,173,142
12;GLACIER ICE;195,195,205
13;WOODED WET SWAMP;183,163,218
14;INLAND WATER;50,90,190
15;SEA WATER;50,90,190
16;SHRUB EVERGREEN;131,146,50
17;SHRUB DECIDUOUS;151,168,50
18;MIXED FOREST AND FIELD;74,157,54
19;EVERGREEN FOREST AND FIELDS;38,160,36
20;COOL RAIN FOREST;48,106,48
21;CONIFER BOREAL FOREST;19,111,19
22;COOL CONIFER FOREST;22,130,22
23;COOL MIXED FOREST;25,135,25
24;MIXED FOREST;30,140,30
25;COOL BROADLEAF FOREST;50,140,0
26;DECIDUOUS BROADLEAF FOREST;80,150,0
27;CONIFER FOREST;20,120,20
28;MONTANE TROPICAL FORESTS;40,140,40
29;SEASONAL TROPICAL FOREST;80,200,80
30;COOL CROPS AND TOWNS;203,221,33
31;CROPS AND TOWN;236,236,118
32;DRY TROPICAL WOODS;70,140,0
33;TROPICAL RAINFOREST;71,175,71
34;TROPICAL DEGRADED FOREST;44,142,44
35;CORN AND BEANS CROPLAND;236,236,118
36;RICE PADDY AND FIELD;223,245,54
37;HOT IRRIGATED CROPLAND;239,242,69
38;COOL IRRIGATED CROPLAND;202,218,77
39;COLD IRRIGATED CROPLAND;189,204,72
40;COOL GRASSES AND SHRUBS;55,160,75
41;HOT AND MILD GRASSES AND SHRUBS;174,189,127
42;COLD GRASSLAND;143,202,150
43;SAVANNA (WOODS);142,176,80
44;MIRE,BOG,FEN;145,184,187
45;MARSH WETLAND;155,150,0
46;MEDITERRANEAN SCRUB;177,220,138
47;DRY WOODY SCRUB;196,222,124
48;DRY EVERGREEN WOODS;44,132,44
49;VOLCANIC ROCK;192,184,148
50;SAND DESERT;203,196,167
51;SEMI DESERT SHRUBS;207,226,154
52;SEMI DESERT SAGE;196,219,131
53;BARREN TUNDRA;135,146,146
54;COOL SOUTHERN HEMISPHERE MIXED FORESTS;18,109,18
55;COOL FIELDS AND WOODS;38,187,36
56;FOREST AND FIELD;95,185,55
57;COOL FOREST AND FIELD;90,170,50
58;FIELDS AND WOODY SAVANNA;142,176,89
59;SUCCULENT AND THORN SCRUB;213,229,167
60;SMALL LEAF MIXED WOODS;80,190,0
61;DECIDUOUS AND MIXED BOREAL FOREST;15,110,15
62;NARROW CONIFERS;20,119,20
63;WOODED TUNDRA;131,172,90
64;HEATH SCRUB;199,221,137
65;COASTAL WETLAND - NW;165,64,181
66;COASTAL WETLAND - NE;165,64,181
67;COASTAL WETLAND - SE;165,64,181
68;COASTAL WETLAND - SW;165,64,181
69;POLAR AND ALPINE DESERT;185,170,25
70;GLACIER ROCK;190,190,180
71;SALT PLAYAS;210,210,200
72;MANGROVE;95,15,95
73;WATER AND ISLAND FRINGE;50,90,190
74;LAND,WATER,AND SHORE;50,90,190
75;LAND AND WATER,RIVERS;50,90,190
76;CROP AND WATER MIXTURES;150,180,131
77;SOUTHERN HEMISPHERE CONIFERS;20,120,20
78;SOUTHERN HEMISPHERE MIXED FOREST;30,140,30
79;WET SCLEROPHYLIC FOREST;40,140,40
80;COASTLINE FRINGE;143,120,82
81;BEACHES AND DUNES;222,206,128
82;SPARSE DUNES AND RIDGES;222,206,128
83;BARE COASTAL DUNES;222,206,128
84;RESIDUAL DUNES AND BEACHES;222,206,128
85;COMPOUND COASTLINES;143,120,82
86;ROCKY CLIFFS AND SLOPES;130,130,130
87;SANDY GRASSLAND AND SHRUBS;205,233,179
88;BAMBOO;158,211,109
89;MOIST EUCALYPTUS;100,190,10
90;RAIN GREEN TROPICAL FOREST;100,170,0
91;WOODY SAVANNA;158,181,112
92;BROADLEAF CROPS;210,220,90
93;GRASS CROPS;195,207,106
94;CROPS,GRASS,SHRUBS;143,204,62
95;EVERGREEN TREE CROP;50,150,50
96;DECIDUOUS TREE CROP;73,172,50
100;NO DATA;50,50,50
